Year,Event
2010,Angular first released
2011,Web Components introduced
2011,CSS3 introduced
2011,Bootstrap released
2013,React.js released
2014,Vue.js first released
2014,Serverless platform introduced
2015,Progressive Web Apps (PWAs) introduced
2015,WebAssembly (Wasm) introduced
2015,JAMstack architecture emerged
2017,AI and machine learning integration in web
