Year,Event
2000,RESTful APIs came out
2000,XHTML introduced
2002,ASP.NET released
2003,WordPress launched
2004,Web 2.0 began
2004,Ruby on Rails released
2004,Firefox launched
2005,YouTube launched
2006,jQuery released
2007,iPhone introduced (rise of mobile web)
2008,Google Chrome launched
2008,HTML5 released
2009,Node.js released
