Year,Name,Owner
2020,C++20,C++ ISO/IEC 14882:2020
2021,Microsoft Power Fx,"Vijay Mital, Robin Abraham, Shon Katzenberger, Darryl Rubin, Microsoft"
2022,Carbon,Google
2023,Mojo,Modular
2023,Fortran 2023,ISO/IEC JTC1/SC22 2023
2024,Gleam,"Louis Pilfold, Fly.io"
2024,C++23,C++ ISO/IEC 14882:2024
2024,Bend,Higher Order Company
